league,group,club,superscore_url,ninetyminut_url
1 Liga,,Chrobry Głogów,https://superscore.live/pl-PL/pilka-nozna/druzyny/chrobry-glogow/6mzmuywk/sklad,http://www.90minut.pl/skarb.php?id_klub=44&id_sezon=109
1 Liga,,ŁKS Łódź,https://superscore.live/pl-PL/pilka-nozna/druzyny/lks-lodz/mcxhdiws/sklad,http://www.90minut.pl/skarb.php?id_klub=17915&id_sezon=109
1 Liga,,Polonia Warszawa,https://superscore.live/pl-PL/pilka-nozna/druzyny/polonia-warszawa/23lvbea7/sklad,http://www.90minut.pl/skarb.php?id_klub=317&id_sezon=109
1 Liga,,Ruch Chorzów,https://superscore.live/pl-PL/pilka-nozna/druzyny/ruch-chorzow/bdm6x5tm/sklad,http://www.90minut.pl/skarb.php?id_klub=340&id_sezon=109
1 Liga,,Miedź Legnica,https://superscore.live/pl-PL/pilka-nozna/druzyny/miedz-legnica/5kqyce9r/sklad,http://www.90minut.pl/skarb.php?id_klub=208&id_sezon=109
1 Liga,,Puszcza Niepołomice,https://superscore.live/pl-PL/pilka-nozna/druzyny/puszcza-niepolomice/ugo3w70w/sklad,http://www.90minut.pl/skarb.php?id_klub=1505&id_sezon=109
1 Liga,,Polonia Bytom,https://superscore.live/pl-PL/pilka-nozna/druzyny/polonia-bytom/17i8826d/sklad,http://www.90minut.pl/skarb.php?id_klub=306&id_sezon=109
1 Liga,,Pogoń Grodzisk Mazowiecki,https://superscore.live/pl-PL/pilka-nozna/druzyny/pogon-grodzisk-mazowiecki/vk0qrk2u/sklad,http://www.90minut.pl/skarb.php?id_klub=284&id_sezon=109
1 Liga,,Odra Opole,https://superscore.live/pl-PL/pilka-nozna/druzyny/odra-opole/9k4idw8p/sklad,http://www.90minut.pl/skarb.php?id_klub=241&id_sezon=109
1 Liga,,Stal Rzeszów,https://superscore.live/pl-PL/pilka-nozna/druzyny/stal-rzeszow/yvjzl4o8/sklad,http://www.90minut.pl/skarb.php?id_klub=371&id_sezon=109
1 Liga,,Stal Mielec,https://superscore.live/pl-PL/pilka-nozna/druzyny/stal-mielec/838c41vo/sklad,http://www.90minut.pl/skarb.php?id_klub=368&id_sezon=109
1 Liga,,Pogoń Siedlce,https://superscore.live/pl-PL/pilka-nozna/druzyny/pogon-siedlce/otqm02e2/sklad,http://www.90minut.pl/skarb.php?id_klub=293&id_sezon=109
1 Liga,,Lechia Gdańsk,https://superscore.live/pl-PL/pilka-nozna/druzyny/lechia-gdansk/n33elfl8/sklad,http://www.90minut.pl/skarb.php?id_klub=165&id_sezon=109
1 Liga,,Arka Gdynia,https://superscore.live/pl-PL/pilka-nozna/druzyny/arka-gdynia/wfeiv8xk/sklad,http://www.90minut.pl/skarb.php?id_klub=7&id_sezon=109
1 Liga,,Termalica Nieciecza,https://superscore.live/pl-PL/pilka-nozna/druzyny/termalica-nieciecza/whxaiped/sklad,http://www.90minut.pl/skarb.php?id_klub=19729&id_sezon=109
1 Liga,,Unia Skierniewice,https://superscore.live/pl-PL/pilka-nozna/druzyny/unia-skierniewice/caskb69q/sklad,http://www.90minut.pl/skarb.php?id_klub=403&id_sezon=109
1 Liga,,Warta Poznań,https://superscore.live/pl-PL/pilka-nozna/druzyny/warta-poznan/ui35ed6z/sklad,http://www.90minut.pl/skarb.php?id_klub=414&id_sezon=109
1 Liga,,Podbeskidzie Bielsko-Biała,https://superscore.live/pl-PL/pilka-nozna/druzyny/podbeskidzie-bielsko-biala/z2eltxu7/sklad,http://www.90minut.pl/skarb.php?id_klub=2997&id_sezon=109